period,production_mt,total_imports_mt,coking_imports_mt,non_coking_imports_mt,offtake_mt,closing_stock_mt,production_yoy_pct,imports_yoy_pct,import_dependency_pct,status,source_url
2015-16,639.23,203.949261,44.56116899999999,159.388092,632.7780000000002,65.36099999999999,,,24.188125874694634,final,https://coal.gov.in/major-statistics/coal-statistics
2016-17,657.868,191.00861,41.64378599999999,149.36482399999997,646.267,76.889,2.915695446083566,-6.345034513265535,22.501339741237537,final,https://coal.gov.in/major-statistics/coal-statistics
2017-18,675.4,208.24866299999996,47.003247,161.24541599999995,690.246,62.036000000000016,2.6649723044744444,9.025798889379889,23.56690749613005,final,https://coal.gov.in/major-statistics/coal-statistics
2018-19,728.718,235.34801299999992,51.837682999999984,183.51032999999995,733.0140000000001,57.64,7.894284868226231,13.012976702760382,24.412022602854684,final,https://coal.gov.in/major-statistics/coal-statistics
2019-20,730.874,248.536581,51.832754,196.703827,707.387,81.432,0.2958620481448237,5.603857806949097,25.376138038680224,final,https://coal.gov.in/major-statistics/coal-statistics
2020-21,716.0830000000001,215.251115,51.19754099999998,164.053574,691.081,109.06,-2.023741438332727,-13.392582237220052,23.112126092363745,final,https://coal.gov.in/major-statistics/coal-statistics
2021-22,778.2102463,208.626860345,57.122654089,151.504206256,819.40460755,68.901415286,8.675983971131828,-3.0774542817118333,21.1409622662325,final,https://coal.gov.in/major-statistics/coal-statistics
2022-23,893.1909999999999,237.667908401,56.052667424,181.615240977,877.549,84.41600000000003,14.775024390474911,13.92009063836539,21.016583645881624,final,https://coal.gov.in/major-statistics/coal-statistics
2023-24,997.826,264.531365711,58.813397967,205.717967744,973.168,108.746,11.7147396245596,11.30293841130423,20.95534694820808,final,https://coal.gov.in/major-statistics/coal-statistics
2024-25,1047.522594346,243.622319943,57.576296334,186.046023609,1025.4813095104382,130.88716244456333,4.980487013367063,-7.904183956333954,18.868704608355795,final,https://coal.gov.in/major-statistics/coal-statistics
2025-26,1008.1999999999998,246.37,66.33,180.04,993.5600000000001,,-3.753865984203464,1.1278441390931926,19.63780418788908,provisional,https://coal.gov.in/major-statistics/production-and-supplies
